comentario,label_final
eu te odeio,1
eu te odeio muito,1
eu odeio você,1
"eu te odeio, seu idiota",1
eu te odeio pra sempre,1
eu já te odeio,1
vai se ferrar,1
"vai se ferrar, idiota",1
vai se catar,1
"vai se catar, otário",1
some daqui,1
some da minha vida,1
some da minha frente,1
some do meu caminho,1
cala a boca,1
cala essa boca,1
"cala a boca, idiota",1
"fica quieto, otário",1
você é um lixo,1
você é uma vergonha,1
você é uma vergonha pra família,1
seu idiota,1
sua idiota,1
seu imbecil,1
sua imbecil,1
seu burro,1
sua burra,1
você não presta,1
você não presta pra nada,1
eu te desprezo,1
eu te desprezo profundamente,1
você me dá nojo,1
que nojo de você,1
eu tenho nojo de você,1
morra,1
vá morrer,1
eu queria que você morresse,1
espero que você morra,1
você é um verme,1
seu verme,1
desgraçado,1
seu desgraçado,1
sua desgraçada,1
vagabundo,1
seu vagabundo,1
sua vagabunda,1
sai da minha frente,1
eu não suporto você,1
você é insuportável,1
você é um péssimo ser humano,1
que povo ridículo,1
odeio gente como você,1
odeio gente assim,1
mulher no volante é perigo,1
lugar de mulher é na cozinha,1
estrangeiro não é bem-vindo aqui,1
volta pro seu país,1
aqui não é lugar pra gente como você,1
imigrante não presta,1
refugiado é tudo vagabundo,1
gente da sua laia não presta,1
essa gente não sabe se comportar,1
eu vou te destruir,1
vou acabar com você,1
você vai se arrepender,1
é bom você desaparecer,1
ninguém gosta de você,1
todo mundo te odeia,1
você só serve pra atrapalhar,1
seu inútil,1
sua inútil,1
seu parasita,1
lixo de gente,1
gentinha,1
essa gentinha aí,1
que vergonha alheia de você,1
que absurdo você existir,1
você é a pior pessoa que eu conheço,1
seu babaca,1
sua babaca,1
"vai se catar, imbecil",1
some da minha vista,1
suma da minha vida,1
eu não aguento mais você,1
você é um câncer na minha vida,1
torço pro seu fracasso,1
espero que você se dê mal,1
cai fora,1
vaza daqui,1
ninguém te chamou,1
ninguém quer você aqui,1
você não vale nada,1
você é escória,1
escória humana,1
gente desse tipo não presta,1
que raça de gente ruim,1
você é um traste,1
seu traste,1
"cala a boca, sua vaca",1
sua vaca,1
seu porco,1
sua peste,1
odeio segunda-feira,0
odeio acordar cedo,0
odeio trânsito,0
que ódio desse trânsito,0
que ódio de perder o ônibus,0
odeio ficar sem internet,0
odeio quando chove no fim de semana,0
odeio essa fila enorme,0
"eu odeio esse jogo, é muito difícil",0
odeio quando o wifi cai,0
odeio quando esquecem meu pedido,0
odeio essa fila do banco,0
odeio perder tempo no trânsito,0
odeio acordar com o despertador,0
morri de rir,0
morri de rir com esse meme,0
morri de rir com essa piada,0
eu morri de vergonha,0
morri de vergonha na apresentação,0
to morrendo de fome,0
to morrendo de sono,0
to morrendo de calor,0
to morrendo de saudade,0
estou morrendo de saudade de casa,0
estou morrendo de curiosidade,0
você é incrível,0
você é demais,0
você é um exemplo pra mim,0
eu te amo,0
eu te admiro muito,0
eu te adoro,0
sai da frente que eu vou passar,0
sai da chuva,0
some com essa preguiça,0
some essa vontade de desistir,0
vai se cuidar,0
vai com Deus,0
suma dessa tristeza toda,0
bom dia pessoal,0
"bom dia, que dia lindo",0
boa noite a todos,0
que dia maravilhoso,0
hoje o café tá ótimo,0
adorei o filme de ontem,0
o jogo de ontem foi incrível,0
meu time ganhou hoje,0
fui ao mercado comprar pão,0
preciso estudar pra prova,0
vou almoçar agora,0
essa música é linda,0
adoro esse restaurante,0
parabéns pelo seu aniversário,0
feliz aniversário pra você,0
obrigado pela ajuda,0
"você me ajudou muito, obrigado",0
que legal essa notícia,0
fico feliz por você,0
estou muito feliz hoje,0
vamos marcar aquele café,0
combinamos de nos ver amanhã,0
o clima está agradável hoje,0
essa cidade é linda,0
adoro viajar nas férias,0
estou aprendendo a cozinhar,0
comprei um livro novo,0
terminei meu projeto hoje,0
consegui um novo emprego,0
fiz uma nova receita hoje,0
gosto muito de você,0
você é uma pessoa incrível,0
obrigado por tudo,0
estou orgulhoso de você,0
você merece o sucesso,0
vamos comemorar juntos,0
que alegria te ver,0
saudades de você,0
adoraria te rever,0
fico feliz quando te vejo,0
foi ótimo te conhecer,0
espero te ver logo,0
tenha um ótimo dia,0
durma bem,0
descanse bastante,0
cuide-se,0
fica com Deus,0
tudo de bom pra você,0
torço muito por você,0
desejo sucesso na sua jornada,0
vai dar tudo certo,0
conte comigo sempre,0
estou aqui se precisar,0
a prova foi mais fácil do que eu esperava,0
o bolo ficou uma delícia,0
a viagem foi maravilhosa,0
o show de ontem foi demais,0
a reunião terminou mais cedo hoje,0
o time jogou muito bem,0
amanhã vou visitar meus pais,0
hoje é meu dia de folga,0
gostei muito do presente,0
a palestra foi muito boa,0
o dia está ensolarado,0
