comentario,label_final
eu odeio você demais,1
eu te odeio com toda força,1
vai se danar,1
sai da minha vida,1
cai fora daqui,1
cala a matraca,1
você é um nojo,1
que vergonha de pessoa,1
seu monstro,1
sua desprezível,1
eu não te suporto mais,1
você é intragável,1
morre logo,1
espero que se exploda,1
você é um zero à esquerda,1
estrangeiro devia voltar pro seu país,1
mulher não sabe dirigir,1
essa gentinha estraga tudo,1
eu te detesto,1
você me enoja,1
ninguém aguenta você,1
some da minha frente agora,1
vaza logo daqui,1
seu fracassado,1
sua fracassada,1
você é um estorvo,1
que raça de gente horrível,1
torço pro seu azar,1
você não serve pra nada,1
seu lixo humano,1
odeio segunda de manhã,0
que ódio de ficar preso no engarrafamento,0
odeio quando a impressora trava,0
odeio dia de chuva sem guarda-chuva,0
morri de rir com o vídeo,0
morri de tanto rir agora,0
to morrendo de saudades da praia,0
to morrendo de vontade de dormir,0
você é sensacional,0
você é o máximo,0
eu gosto muito de você,0
"sai da frente do carro, por favor",0
vai com cuidado no caminho,0
some com essa dor de cabeça logo,0
"bom dia, tudo bem?",0
boa tarde pra você também,0
que dia agradável hoje,0
adorei o passeio de hoje,0
o filme de hoje foi ótimo,0
ganhei uma promoção no trabalho,0
obrigado pela paciência,0
fico feliz com sua visita,0
parabéns pela conquista,0
estou na torcida por você,0
tenha uma ótima semana,0
vamos almoçar juntos amanhã,0
gostei muito da apresentação,0
o jantar ficou saboroso,0
a manhã está tranquila,0
estou animado com as férias,0
